ID,količina,merska enota,sestavina
21313,300,g,temna čokolada 
21313,300,g,mlečna čokolada 
21313,200,g,bela čokolada 
21313,9,žlica,sladkor 
21313,200,g,gosti jogurt 
21314,800,g,šparglji 
21314,200,g,jagode 
21314,0.5,,pomaranča 
21314,75,ml,rdeče vino 
21314,1,,jajce
21314,0.5,žlička,gorčica 
21314,200,ml,sončnično olje
21314,1,,muškatni orešček
21314,1,,sol
21314,1,,poper 
21315,1,l,špargljeva jušna osnova 
21315,4,,šparglji 
21315,50,g,čajno maslo 
21315,2,žlica,gladka moka 
21315,100,ml,sladka smetana 
21315,150,g,kuhana šunka 
21315,2,list,čemaž 
21315,2,,jajce 
21315,50,g,krušne drobtine
21315,1,,muškatni orešček 
21315,1,,sladko
21315,1,,sol
21315,1,,poper 
21316,600,g,goveja rebra 
21316,1,dl,rdeče vino
21316,0.5,dl,kava
21316,1,,sol
21316,1,,poper
21316,1,,rožmarin
21316,1,,sladka paprika v prahu
21317,3,,banana
21317,2,,jajce 
21317,1,,grški jogurt 
21317,2,žlica,med
21317,1,žlička,vanilijev ekstrakt 
21317,20,dag,moka 
21317,1,,pecilni prašek
21317,1,,oreščki
21318,12,,šparglji 
21318,12,,kaneloni iz testenin 
21318,12,rezina,pršut 
21318,12,rezina,slanina 
21318,250,ml,smetana za kuhanje 
21318,100,g,mozzarella
21318,1,ščepec,muškatni oreščk 
21318,2,,jajce
21318,5,dl,mleko 
21319,100,g,maslo 
21319,200,g,moka 
21319,1,,rumenjak 
21319,30,g,sladkor 
21319,1,,vanilin sladkor
21319,1,šcepec,sol 
21319,2,žlica,voda
21319,1,žlica,limonin sok 
21319,2,žlica,jagodna marmelada 
21319,350,g,maline 
21319,300,g,jagode
21319,1,žlica,gustin 
21319,1,,limona 
21319,1,,vanilin sladkor 
21319,3,žlica,sladkor 
21319,4,,beljak 
21319,2,žlica,sladkor v prah
21319,1,,maline 
21320,1,zavitek,listnato testo 
21320,300,g,nepasirana skuta 
21320,3,žlica,kisla smetana 
21320,1,,rumenjak
21320,1,šcepec,sol
21322,260,g,moka 
21322,60,g,mleti mak 
21322,30,g,črni sezam 
21322,200,g,beli sladkor 
21322,80,g,kokosov sladkor 
21322,1,,pecilni prašek 
21322,1,žlička,soda bikarbona
21322,1,ščepec,sol 
